gene	rTS_Plac1	e13.5_KO	e18.5_KO	gene	external_gene_name	gene_biotype	description
ENSRNOG00000042140	0	1	0	ENSRNOG00000042140	Eomes	protein_coding	eomesodermin [Source:RGD Symbol;Acc:1359706]
ENSRNOG00000042771	0	1	0	ENSRNOG00000042771	Apol3	protein_coding	apolipoprotein L, 3 [Source:RGD Symbol;Acc:1306480]
ENSRNOG00000042978	0	1	0	ENSRNOG00000042978	Ncald	protein_coding	neurocalcin delta [Source:RGD Symbol;Acc:1560287]
ENSRNOG00000043031	0	1	1	ENSRNOG00000043031	Rd3l	protein_coding	RD3 like [Source:RGD Symbol;Acc:1305627]
ENSRNOG00000046064	0	1	0	ENSRNOG00000046064	RGD1308005	protein_coding	similar to RIKEN cDNA 9630033F20 gene [Source:RGD Symbol;Acc:1308005]
ENSRNOG00000046245	0	1	0	ENSRNOG00000046245	AABR07057423.1	protein_coding	membrane associated ring-CH-type finger 9 [Source:RGD Symbol;Acc:1590688]
ENSRNOG00000047867	0	1	1	ENSRNOG00000047867	Klhdc8b	protein_coding	kelch domain containing 8B [Source:RGD Symbol;Acc:1359445]
ENSRNOG00000051056	0	1	1	ENSRNOG00000051056	AABR07063279.1	protein_coding	fibronectin type III domain containing 4 [Source:RGD Symbol;Acc:6496095]
ENSRNOG00000051619	0	1	0	ENSRNOG00000051619	Asb2	protein_coding	ankyrin repeat and SOCS box-containing 2 [Source:RGD Symbol;Acc:1306414]
ENSRNOG00000051704	0	1	0	ENSRNOG00000051704		protein_coding	
ENSRNOG00000052296	0	1	0	ENSRNOG00000052296	Shank3	protein_coding	SH3 and multiple ankyrin repeat domains 3 [Source:RGD Symbol;Acc:69264]
ENSRNOG00000052725	0	1	0	ENSRNOG00000052725	Shisal1	protein_coding	shisa like 1 [Source:RGD Symbol;Acc:1566029]
ENSRNOG00000055293	0	1	0	ENSRNOG00000055293	Ptprb	protein_coding	protein tyrosine phosphatase, receptor type, B [Source:RGD Symbol;Acc:1305922]
ENSRNOG00000055305	0	1	0	ENSRNOG00000055305	Parvb	protein_coding	parvin, beta [Source:RGD Symbol;Acc:1311485]
ENSRNOG00000056135	0	1	1	ENSRNOG00000056135	Tsc22d3	protein_coding	TSC22 domain family, member 3 [Source:MGI Symbol;Acc:MGI:1196284]
ENSRNOG00000057501	0	1	0	ENSRNOG00000057501	Fam81a	protein_coding	family with sequence similarity 81, member A [Source:RGD Symbol;Acc:1311958]
ENSRNOG00000058173	0	1	0	ENSRNOG00000058173	Sox3	protein_coding	SRY (sex determining region Y)-box 3 [Source:MGI Symbol;Acc:MGI:98365]
ENSRNOG00000058317	0	1	1	ENSRNOG00000058317	Pnck	protein_coding	pregnancy up-regulated nonubiquitous CaM kinase [Source:RGD Symbol;Acc:69249]
ENSRNOG00000061101	0	1	0	ENSRNOG00000061101	Ripply1	protein_coding	ripply transcriptional repressor 1 [Source:RGD Symbol;Acc:1588264]
ENSRNOG00000061102	0	1	1	ENSRNOG00000061102		protein_coding	
ENSRNOG00000061304	0	1	1	ENSRNOG00000061304	Atp2b3	protein_coding	ATPase, Ca++ transporting, plasma membrane 3 [Source:MGI Symbol;Acc:MGI:1347353]
ENSRNOG00000061813	0	1	1	ENSRNOG00000061813	Ly6c	protein_coding	Ly6-C antigen [Source:RGD Symbol;Acc:621266]
ENSRNOG00000063302	0	1	1	ENSRNOG00000063302		protein_coding	similar to anterior pharynx defective 1b homolog [Source:RGD Symbol;Acc:1597236]
ENSRNOG00000064383	0	1	0	ENSRNOG00000064383	Trpc5os	protein_coding	TRPC5 opposite strand [Source:NCBI gene (formerly Entrezgene);Acc:100909489]
ENSRNOG00000065195	0	1	1	ENSRNOG00000065195		protein_coding	
ENSRNOG00000065381	0	1	0	ENSRNOG00000065381	RGD1565071	protein_coding	similar to hypothetical protein 4930509O22 [Source:RGD Symbol;Acc:1565071]
ENSRNOG00000065488	0	1	0	ENSRNOG00000065488		protein_coding	
ENSRNOG00000065509	0	1	0	ENSRNOG00000065509	Frmpd3	protein_coding	FERM and PDZ domain containing 3 [Source:NCBI gene (formerly Entrezgene);Acc:315916]
ENSRNOG00000066176	0	1	0	ENSRNOG00000066176	Prrg3	protein_coding	proline rich and Gla domain 3 [Source:NCBI gene (formerly Entrezgene);Acc:293935]
ENSRNOG00000066437	0	1	0	ENSRNOG00000066437	Ntm	protein_coding	neurotrimin [Source:RGD Symbol;Acc:620958]
ENSRNOG00000067363	0	1	0	ENSRNOG00000067363	Xkrx	protein_coding	XK related, X-linked [Source:NCBI gene (formerly Entrezgene);Acc:497101]
ENSRNOG00000070472	0	1	0	ENSRNOG00000070472	Nxpe4	protein_coding	neurexophilin and PC-esterase domain family member 4 [Source:RGD Symbol;Acc:1560781]
ENSRNOG00000071034	0	1	0	ENSRNOG00000071034		protein_coding	putative sperm motility kinase W [Source:RGD Symbol;Acc:41019284]
ENSRNOG00000000055	0	1	0	ENSRNOG00000000055	Fcrl6	protein_coding	Fc receptor-like 6 [Source:RGD Symbol;Acc:1563939]
ENSRNOG00000002050	0	1	0	ENSRNOG00000002050	Igfbp7	protein_coding	insulin-like growth factor binding protein 7 [Source:RGD Symbol;Acc:1306201]
ENSRNOG00000002167	0	1	0	ENSRNOG00000002167	Dmp1	protein_coding	dentin matrix acidic phosphoprotein 1 [Source:RGD Symbol;Acc:2508]
ENSRNOG00000002204	0	1	0	ENSRNOG00000002204	Ccdc158	protein_coding	coiled-coil domain containing 158 [Source:RGD Symbol;Acc:1308523]
ENSRNOG00000002256	0	1	1	ENSRNOG00000002256	Art3	protein_coding	ADP-ribosyltransferase 3 [Source:RGD Symbol;Acc:628833]
ENSRNOG00000002273	0	1	0	ENSRNOG00000002273	Naaa	protein_coding	N-acylethanolamine acid amidase [Source:RGD Symbol;Acc:1307267]
ENSRNOG00000002303	0	1	0	ENSRNOG00000002303	Kcnj12	protein_coding	potassium inwardly-rectifying channel, subfamily J, member 12 [Source:RGD Symbol;Acc:621660]
ENSRNOG00000002434	0	1	0	ENSRNOG00000002434	Tmem100	protein_coding	transmembrane protein 100 [Source:RGD Symbol;Acc:1560541]
ENSRNOG00000002488	0	1	1	ENSRNOG00000002488	Galnt10	protein_coding	polypeptide N-acetylgalactosaminyltransferase 10 [Source:RGD Symbol;Acc:69409]
ENSRNOG00000002525	0	1	0	ENSRNOG00000002525	Ptgs2	protein_coding	prostaglandin-endoperoxide synthase 2 [Source:RGD Symbol;Acc:620349]
ENSRNOG00000002723	0	1	0	ENSRNOG00000002723	Sele	protein_coding	selectin E [Source:RGD Symbol;Acc:3654]
ENSRNOG00000002773	0	1	0	ENSRNOG00000002773	Rgs4	protein_coding	regulator of G-protein signaling 4 [Source:RGD Symbol;Acc:3567]
ENSRNOG00000002831	0	1	1	ENSRNOG00000002831	Wfikkn2	protein_coding	WAP, follistatin/kazal, immunoglobulin, kunitz and netrin domain containing 2 [Source:RGD Symbol;Acc:1305361]
ENSRNOG00000002930	0	1	0	ENSRNOG00000002930	Ppl	protein_coding	periplakin [Source:RGD Symbol;Acc:1305511]
ENSRNOG00000002969	0	1	0	ENSRNOG00000002969	Itpkb	protein_coding	inositol-trisphosphate 3-kinase B [Source:RGD Symbol;Acc:2932]
ENSRNOG00000003134	0	1	0	ENSRNOG00000003134	Slc4a4	protein_coding	solute carrier family 4 member 4 [Source:RGD Symbol;Acc:68936]
ENSRNOG00000003205	0	1	1	ENSRNOG00000003205	Ldb2	protein_coding	LIM domain binding 2 [Source:RGD Symbol;Acc:1307921]
ENSRNOG00000003263	0	1	0	ENSRNOG00000003263	Lefty1	protein_coding	left right determination factor 1 [Source:RGD Symbol;Acc:1561867]
ENSRNOG00000003338	0	1	0	ENSRNOG00000003338	Pmp22	protein_coding	peripheral myelin protein 22 [Source:RGD Symbol;Acc:3359]
ENSRNOG00000003407	0	1	0	ENSRNOG00000003407	Ptpn14	protein_coding	protein tyrosine phosphatase, non-receptor type 14 [Source:RGD Symbol;Acc:1307885]
ENSRNOG00000003457	0	1	0	ENSRNOG00000003457	Bicdl2	protein_coding	BICD family like cargo adaptor 2 [Source:RGD Symbol;Acc:1306729]
ENSRNOG00000003515	0	1	0	ENSRNOG00000003515	Ephx1	protein_coding	epoxide hydrolase 1 [Source:RGD Symbol;Acc:2557]
ENSRNOG00000003517	0	1	0	ENSRNOG00000003517	Tbx2	protein_coding	T-box transcription factor 2 [Source:RGD Symbol;Acc:1311014]
ENSRNOG00000003522	0	1	0	ENSRNOG00000003522	Mr1	protein_coding	major histocompatibility complex, class I-related [Source:RGD Symbol;Acc:1593291]
ENSRNOG00000003616	0	1	0	ENSRNOG00000003616	Grem2	protein_coding	gremlin 2, DAN family BMP antagonist [Source:RGD Symbol;Acc:1560008]
ENSRNOG00000003620	0	1	0	ENSRNOG00000003620	Fmo3	protein_coding	flavin containing dimethylaniline monoxygenase 3 [Source:RGD Symbol;Acc:619761]
ENSRNOG00000003687	0	1	0	ENSRNOG00000003687	Rgs2	protein_coding	regulator of G-protein signaling 2 [Source:RGD Symbol;Acc:621665]
ENSRNOG00000003720	0	1	1	ENSRNOG00000003720	Prrx1	protein_coding	paired related homeobox 1 [Source:RGD Symbol;Acc:628884]
ENSRNOG00000003781	0	1	0	ENSRNOG00000003781	Atp10b	protein_coding	ATPase phospholipid transporting 10B (putative) [Source:RGD Symbol;Acc:1565126]
ENSRNOG00000003832	0	1	0	ENSRNOG00000003832	Vash2	protein_coding	vasohibin 2 [Source:RGD Symbol;Acc:1564105]
ENSRNOG00000003835	0	1	1	ENSRNOG00000003835	Slc43a2	protein_coding	solute carrier family 43 member 2 [Source:RGD Symbol;Acc:1305819]
ENSRNOG00000003840	0	1	1	ENSRNOG00000003840	Slit2	protein_coding	slit guidance ligand 2 [Source:RGD Symbol;Acc:69310]
ENSRNOG00000003845	0	1	0	ENSRNOG00000003845	Wnt3	protein_coding	Wnt family member 3 [Source:RGD Symbol;Acc:3972]
ENSRNOG00000003869	0	1	0	ENSRNOG00000003869	Sod3	protein_coding	superoxide dismutase 3 [Source:RGD Symbol;Acc:3733]
ENSRNOG00000004280	0	1	1	ENSRNOG00000004280	Tcn2	protein_coding	transcobalamin 2 [Source:RGD Symbol;Acc:620681]
ENSRNOG00000004281	0	1	0	ENSRNOG00000004281	Cobl	protein_coding	cordon-bleu WH2 repeat protein [Source:RGD Symbol;Acc:1312002]
ENSRNOG00000004327	0	1	0	ENSRNOG00000004327	Ddc	protein_coding	dopa decarboxylase [Source:RGD Symbol;Acc:2494]
ENSRNOG00000004461	0	1	0	ENSRNOG00000004461	NEWGENE_6497122	protein_coding	FLYWCH family member 2 [Source:RGD Symbol;Acc:11436072]
ENSRNOG00000004566	0	1	0	ENSRNOG00000004566	Arhgef15	protein_coding	Rho guanine nucleotide exchange factor 15 [Source:RGD Symbol;Acc:1306961]
ENSRNOG00000005861	0	1	1	ENSRNOG00000005861	Hsd11b1	protein_coding	hydroxysteroid 11-beta dehydrogenase 1 [Source:RGD Symbol;Acc:2834]
ENSRNOG00000006255	0	1	1	ENSRNOG00000006255	Nipal4	protein_coding	NIPA-like domain containing 4 [Source:RGD Symbol;Acc:1309452]
ENSRNOG00000006450	0	1	0	ENSRNOG00000006450	Erbb2	protein_coding	erb-b2 receptor tyrosine kinase 2 [Source:RGD Symbol;Acc:2561]
ENSRNOG00000006963	0	1	1	ENSRNOG00000006963	Ctse	protein_coding	cathepsin E [Source:RGD Symbol;Acc:2446]
ENSRNOG00000007025	0	1	0	ENSRNOG00000007025	Evc2	protein_coding	EvC ciliary complex subunit 2 [Source:RGD Symbol;Acc:1310417]
ENSRNOG00000007206	0	1	0	ENSRNOG00000007206	Cfap20dc	protein_coding	CFAP20 domain containing [Source:RGD Symbol;Acc:1359720]
ENSRNOG00000007591	0	1	0	ENSRNOG00000007591	Slc45a3	protein_coding	solute carrier family 45, member 3 [Source:RGD Symbol;Acc:1309764]
ENSRNOG00000007604	0	1	0	ENSRNOG00000007604	Igsf8	protein_coding	immunoglobulin superfamily, member 8 [Source:RGD Symbol;Acc:1311500]
ENSRNOG00000007611	0	1	1	ENSRNOG00000007611	Hoxb7	protein_coding	homeo box B7 [Source:RGD Symbol;Acc:1559918]
ENSRNOG00000007993	0	1	0	ENSRNOG00000007993	Sh3tc1	protein_coding	SH3 domain and tetratricopeptide repeats 1 [Source:RGD Symbol;Acc:1305610]
ENSRNOG00000008323	0	1	0	ENSRNOG00000008323	Pitpnm3	protein_coding	PITPNM family member 3 [Source:RGD Symbol;Acc:1308200]
ENSRNOG00000008432	0	1	0	ENSRNOG00000008432	Slc22a5	protein_coding	solute carrier family 22 member 5 [Source:RGD Symbol;Acc:3702]
ENSRNOG00000008716	0	1	0	ENSRNOG00000008716	Nefh	protein_coding	neurofilament heavy [Source:RGD Symbol;Acc:3159]
ENSRNOG00000008970	0	1	1	ENSRNOG00000008970	Pcdh17	protein_coding	protocadherin 17 [Source:RGD Symbol;Acc:1304753]
ENSRNOG00000008989	0	1	0	ENSRNOG00000008989	Cryl1	protein_coding	crystallin, lambda 1 [Source:RGD Symbol;Acc:631427]
ENSRNOG00000009144	0	1	0	ENSRNOG00000009144	Lad1	protein_coding	ladinin 1 [Source:RGD Symbol;Acc:1310652]
ENSRNOG00000009173	0	1	0	ENSRNOG00000009173	Smad6	protein_coding	SMAD family member 6 [Source:RGD Symbol;Acc:1305069]
ENSRNOG00000011039	0	1	0	ENSRNOG00000011039	Gch1	protein_coding	GTP cyclohydrolase 1 [Source:RGD Symbol;Acc:61992]
ENSRNOG00000011196	0	1	0	ENSRNOG00000011196	Krt25	protein_coding	keratin 25 [Source:RGD Symbol;Acc:1359097]
ENSRNOG00000011453	0	1	0	ENSRNOG00000011453	Kif6	protein_coding	kinesin family member 6 [Source:RGD Symbol;Acc:621070]
ENSRNOG00000012509	0	1	0	ENSRNOG00000012509	Il17f	protein_coding	interleukin 17F [Source:RGD Symbol;Acc:1311398]
ENSRNOG00000012575	0	1	0	ENSRNOG00000012575	Fat2	protein_coding	FAT atypical cadherin 2 [Source:RGD Symbol;Acc:620656]
ENSRNOG00000012663	0	1	0	ENSRNOG00000012663	Mfsd6	protein_coding	major facilitator superfamily domain containing 6 [Source:RGD Symbol;Acc:1562317]
ENSRNOG00000013484	0	1	0	ENSRNOG00000013484	Gsta1	protein_coding	glutathione S-transferase alpha 1 [Source:RGD Symbol;Acc:2753]
ENSRNOG00000013554	0	1	0	ENSRNOG00000013554	Treml2	protein_coding	triggering receptor expressed on myeloid cells-like 2 [Source:RGD Symbol;Acc:1587039]
ENSRNOG00000013781	0	1	0	ENSRNOG00000013781	Kcnq5	protein_coding	potassium voltage-gated channel subfamily Q member 5 [Source:RGD Symbol;Acc:628848]
ENSRNOG00000014231	0	1	1	ENSRNOG00000014231	Pnoc	protein_coding	prepronociceptin [Source:RGD Symbol;Acc:3362]
ENSRNOG00000014597	0	1	1	ENSRNOG00000014597	Irs1	protein_coding	insulin receptor substrate 1 [Source:RGD Symbol;Acc:2922]
ENSRNOG00000014887	0	1	0	ENSRNOG00000014887	Homez	protein_coding	homeobox and leucine zipper encoding [Source:RGD Symbol;Acc:628904]
ENSRNOG00000015002	0	1	1	ENSRNOG00000015002	Abhd15	protein_coding	abhydrolase domain containing 15 [Source:RGD Symbol;Acc:1304598]
ENSRNOG00000015055	0	1	0	ENSRNOG00000015055	Scg2	protein_coding	secretogranin II [Source:RGD Symbol;Acc:3626]
ENSRNOG00000015093	0	1	0	ENSRNOG00000015093	Sparcl1	protein_coding	SPARC like 1 [Source:RGD Symbol;Acc:2531]
ENSRNOG00000015567	0	1	0	ENSRNOG00000015567	Slc9a2	protein_coding	solute carrier family 9 member A2 [Source:RGD Symbol;Acc:3719]
ENSRNOG00000015577	0	1	0	ENSRNOG00000015577	Lpar6	protein_coding	lysophosphatidic acid receptor 6 [Source:RGD Symbol;Acc:1595950]
ENSRNOG00000015596	0	1	0	ENSRNOG00000015596	Efhd1	protein_coding	EF-hand domain family, member D1 [Source:RGD Symbol;Acc:1559565]
ENSRNOG00000016057	0	1	0	ENSRNOG00000016057	Kcnj13	protein_coding	potassium inwardly-rectifying channel, subfamily J, member 13 [Source:RGD Symbol;Acc:621661]
ENSRNOG00000016494	0	1	1	ENSRNOG00000016494	Tmem204	protein_coding	transmembrane protein 204 [Source:RGD Symbol;Acc:1359314]
ENSRNOG00000016957	0	1	0	ENSRNOG00000016957	Igfbp2	protein_coding	insulin-like growth factor binding protein 2 [Source:RGD Symbol;Acc:2873]
ENSRNOG00000018693	0	1	1	ENSRNOG00000018693	Asgr1	protein_coding	asialoglycoprotein receptor 1 [Source:RGD Symbol;Acc:2160]
ENSRNOG00000019075	0	1	0	ENSRNOG00000019075	Stat5b	protein_coding	signal transducer and activator of transcription 5B [Source:RGD Symbol;Acc:3774]
ENSRNOG00000019128	0	1	1	ENSRNOG00000019128	St8sia4	protein_coding	ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 4 [Source:RGD Symbol;Acc:621845]
ENSRNOG00000019926	0	1	1	ENSRNOG00000019926	Ramp1	protein_coding	receptor (calcitonin) activity modifying protein 1 [Source:MGI Symbol;Acc:MGI:1858418]
ENSRNOG00000020194	0	1	0	ENSRNOG00000020194	Hes6	protein_coding	hes family bHLH transcription factor 6 [Source:RGD Symbol;Acc:1312047]
ENSRNOG00000020685	0	1	0	ENSRNOG00000020685	Atp12a	protein_coding	ATPase H+/K+ transporting non-gastric alpha2 subunit [Source:RGD Symbol;Acc:620569]
ENSRNOG00000020792	0	1	0	ENSRNOG00000020792	Etv4	protein_coding	ETS variant transcription factor 4 [Source:RGD Symbol;Acc:1306524]
ENSRNOG00000021719	0	1	0	ENSRNOG00000021719	Slfn5	protein_coding	schlafen family member 5 [Source:RGD Symbol;Acc:1312025]
ENSRNOG00000022116	0	1	0	ENSRNOG00000022116	Gjb6	protein_coding	gap junction protein, beta 6 [Source:RGD Symbol;Acc:621830]
ENSRNOG00000023143	0	1	0	ENSRNOG00000023143	Nlrp1a	protein_coding	NLR family, pyrin domain containing 1A [Source:RGD Symbol;Acc:1310963]
ENSRNOG00000023566	0	1	0	ENSRNOG00000023566	Vwa3b	protein_coding	von Willebrand factor A domain containing 3B [Source:RGD Symbol;Acc:1562560]
ENSRNOG00000024061	0	1	0	ENSRNOG00000024061	Rarb	protein_coding	retinoic acid receptor, beta [Source:RGD Symbol;Acc:3535]
ENSRNOG00000024345	0	1	1	ENSRNOG00000024345	Pard3b	protein_coding	par-3 family cell polarity regulator beta [Source:RGD Symbol;Acc:1584992]
ENSRNOG00000025121	0	1	1	ENSRNOG00000025121	Pla2g3	protein_coding	phospholipase A2, group III [Source:RGD Symbol;Acc:1305323]
ENSRNOG00000026430	0	1	0	ENSRNOG00000026430	Trim58	protein_coding	tripartite motif-containing 58 [Source:RGD Symbol;Acc:1566174]
ENSRNOG00000027195	0	1	0	ENSRNOG00000027195	Clrn2	protein_coding	clarin 2 [Source:RGD Symbol;Acc:1591112]
ENSRNOG00000027212	0	1	0	ENSRNOG00000027212	Tekt3	protein_coding	tektin 3 [Source:RGD Symbol;Acc:1310582]
ENSRNOG00000027350	0	1	0	ENSRNOG00000027350	Tns4	protein_coding	tensin 4 [Source:RGD Symbol;Acc:1310402]
ENSRNOG00000027606	0	1	0	ENSRNOG00000027606	Neurl1b	protein_coding	neuralized E3 ubiquitin protein ligase 1B [Source:RGD Symbol;Acc:1564984]
ENSRNOG00000028207	0	1	0	ENSRNOG00000028207	Colgalt2	protein_coding	collagen beta(1-O)galactosyltransferase 2 [Source:RGD Symbol;Acc:1304702]
ENSRNOG00000029735	0	1	0	ENSRNOG00000029735	Pid1	protein_coding	phosphotyrosine interaction domain containing 1 [Source:RGD Symbol;Acc:1560766]
ENSRNOG00000030568	0	1	0	ENSRNOG00000030568	Rgs12	protein_coding	regulator of G-protein signaling 12 [Source:RGD Symbol;Acc:3564]
ENSRNOG00000032417	0	1	0	ENSRNOG00000032417	Gabrp	protein_coding	gamma-aminobutyric acid type A receptor subunit pi [Source:RGD Symbol;Acc:620532]
ENSRNOG00000033575	0	1	0	ENSRNOG00000033575	Emid1	protein_coding	EMI domain containing 1 [Source:RGD Symbol;Acc:1593795]
ENSRNOG00000033942	0	1	1	ENSRNOG00000033942	Grin2a	protein_coding	glutamate ionotropic receptor NMDA type subunit 2A [Source:RGD Symbol;Acc:2737]
ENSRNOG00000037113	0	1	0	ENSRNOG00000037113	Slfn2	protein_coding	schlafen family member 2 [Source:RGD Symbol;Acc:1308645]
ENSRNOG00000037275	0	1	0	ENSRNOG00000037275	Tlcd2	protein_coding	TLC domain containing 2 [Source:RGD Symbol;Acc:1562631]
ENSRNOG00000037718	0	1	0	ENSRNOG00000037718	Cfap52	protein_coding	cilia and flagella associated protein 52 [Source:RGD Symbol;Acc:1308151]
ENSRNOG00000043451	0	1	1	ENSRNOG00000043451	Spp1	protein_coding	secreted phosphoprotein 1 [Source:RGD Symbol;Acc:3752]
ENSRNOG00000045558	0	1	1	ENSRNOG00000045558	Cd34	protein_coding	CD34 molecule [Source:RGD Symbol;Acc:1306863]
ENSRNOG00000046086	0	1	0	ENSRNOG00000046086	Tmc8	protein_coding	transmembrane channel-like 8 [Source:RGD Symbol;Acc:1591150]
ENSRNOG00000046482	0	1	0	ENSRNOG00000046482	Znf750	protein_coding	zinc finger protein 750 [Source:RGD Symbol;Acc:1590044]
ENSRNOG00000046829	0	1	0	ENSRNOG00000046829	Kdr	protein_coding	kinase insert domain receptor [Source:RGD Symbol;Acc:2965]
ENSRNOG00000047367	0	1	1	ENSRNOG00000047367	Card14	protein_coding	caspase recruitment domain family, member 14 [Source:RGD Symbol;Acc:1591135]
ENSRNOG00000047781	0	1	0	ENSRNOG00000047781	Slc25a23	protein_coding	solute carrier family 25 member 23 [Source:RGD Symbol;Acc:1588586]
ENSRNOG00000047940	0	1	0	ENSRNOG00000047940	Mmp28	protein_coding	matrix metallopeptidase 28 [Source:RGD Symbol;Acc:1311573]
ENSRNOG00000049537	0	1	0	ENSRNOG00000049537	4930523C07Rik	protein_coding	RIKEN cDNA 4930523C07 gene [Source:MGI Symbol;Acc:MGI:1914897]
ENSRNOG00000049862	0	1	0	ENSRNOG00000049862	Rnf157	protein_coding	ring finger protein 157 [Source:RGD Symbol;Acc:1591154]
ENSRNOG00000049880	0	1	0	ENSRNOG00000049880	Tmem200c	protein_coding	transmembrane protein 200C [Source:RGD Symbol;Acc:1561734]
ENSRNOG00000049976	0	1	1	ENSRNOG00000049976	Gzmbl2	protein_coding	granzyme B [Source:RGD Symbol;Acc:620018]
ENSRNOG00000053200	0	1	0	ENSRNOG00000053200	Dock10	protein_coding	dedicator of cytokinesis 10 [Source:RGD Symbol;Acc:1561963]
ENSRNOG00000054416	0	1	0	ENSRNOG00000054416	Fam124b	protein_coding	family with sequence similarity 124 member B [Source:RGD Symbol;Acc:1589866]
ENSRNOG00000056944	0	1	0	ENSRNOG00000056944	Arhgap24	protein_coding	Rho GTPase activating protein 24 [Source:RGD Symbol;Acc:1306669]
ENSRNOG00000057404	0	1	0	ENSRNOG00000057404	Slc47a1	protein_coding	solute carrier family 47 member 1 [Source:RGD Symbol;Acc:1311123]
ENSRNOG00000060561	0	1	0	ENSRNOG00000060561	Gdpd1	protein_coding	glycerophosphodiester phosphodiesterase domain containing 1 [Source:RGD Symbol;Acc:1311813]
ENSRNOG00000060984	0	1	1	ENSRNOG00000060984	Dnah7	protein_coding	dynein, axonemal, heavy chain 7 [Source:RGD Symbol;Acc:621798]
ENSRNOG00000065763	0	1	0	ENSRNOG00000065763		protein_coding	
ENSRNOG00000066377	0	1	0	ENSRNOG00000066377	Smim14	protein_coding	small integral membrane protein 14 [Source:RGD Symbol;Acc:1311122]
ENSRNOG00000069160	0	1	1	ENSRNOG00000069160	Pitpnc1	protein_coding	phosphatidylinositol transfer protein, cytoplasmic 1 [Source:RGD Symbol;Acc:1597047]
ENSRNOG00000070061	0	1	0	ENSRNOG00000070061		protein_coding	
ENSRNOG00000000142	0	1	0	ENSRNOG00000000142	Plxdc2	protein_coding	plexin domain containing 2 [Source:RGD Symbol;Acc:1305962]
ENSRNOG00000000158	0	1	0	ENSRNOG00000000158	Cdo1	protein_coding	cysteine dioxygenase type 1 [Source:RGD Symbol;Acc:69262]
ENSRNOG00000000274	0	1	0	ENSRNOG00000000274	Phyhipl	protein_coding	phytanoyl-CoA 2-hydroxylase interacting protein-like [Source:RGD Symbol;Acc:1307967]
ENSRNOG00000000412	0	1	0	ENSRNOG00000000412	Slc35f1	protein_coding	solute carrier family 35, member F1 [Source:RGD Symbol;Acc:1559576]
ENSRNOG00000000552	0	1	0	ENSRNOG00000000552	Col13a1	protein_coding	collagen type XIII alpha 1 chain [Source:RGD Symbol;Acc:1595704]
ENSRNOG00000000562	0	1	0	ENSRNOG00000000562	Prf1	protein_coding	perforin 1 [Source:RGD Symbol;Acc:708463]
ENSRNOG00000000572	0	1	0	ENSRNOG00000000572	Chst3	protein_coding	carbohydrate sulfotransferase 3 [Source:RGD Symbol;Acc:620355]
ENSRNOG00000001138	0	1	0	ENSRNOG00000001138	Taok3	protein_coding	TAO kinase 3 [Source:RGD Symbol;Acc:1562861]
ENSRNOG00000001174	0	1	0	ENSRNOG00000001174	Pde9a	protein_coding	phosphodiesterase 9A [Source:RGD Symbol;Acc:621035]
ENSRNOG00000001212	0	1	0	ENSRNOG00000001212	Dnmt3l	protein_coding	DNA methyltransferase 3 like [Source:RGD Symbol;Acc:1303239]
ENSRNOG00000001287	0	1	0	ENSRNOG00000001287	Gper1	protein_coding	G protein-coupled estrogen receptor 1 [Source:RGD Symbol;Acc:619845]
ENSRNOG00000001360	0	1	0	ENSRNOG00000001360	Stag3	protein_coding	stromal antigen 3 [Source:RGD Symbol;Acc:621333]
ENSRNOG00000001367	0	1	0	ENSRNOG00000001367	Gpc2	protein_coding	glypican 2 [Source:RGD Symbol;Acc:621363]
ENSRNOG00000001557	0	1	0	ENSRNOG00000001557	Cxadr	protein_coding	CXADR, Ig-like cell adhesion molecule [Source:RGD Symbol;Acc:619794]
ENSRNOG00000001607	0	1	0	ENSRNOG00000001607	Adamts1	protein_coding	ADAM metallopeptidase with thrombospondin type 1 motif, 1 [Source:RGD Symbol;Acc:621241]
ENSRNOG00000001653	0	1	0	ENSRNOG00000001653	St3gal6	protein_coding	ST3 beta-galactoside alpha-2,3-sialyltransferase 6 [Source:RGD Symbol;Acc:1303279]
ENSRNOG00000001701	0	1	0	ENSRNOG00000001701	Cbr3	protein_coding	carbonyl reductase 3 [Source:RGD Symbol;Acc:1309728]
ENSRNOG00000001823	0	1	0	ENSRNOG00000001823	St6gal1	protein_coding	ST6 beta-galactoside alpha-2,6-sialyltransferase 1 [Source:RGD Symbol;Acc:3676]
ENSRNOG00000001827	0	1	1	ENSRNOG00000001827	Masp1	protein_coding	MBL associated serine protease 1 [Source:RGD Symbol;Acc:620213]
ENSRNOG00000001908	0	1	0	ENSRNOG00000001908	Klhl6	protein_coding	kelch-like family member 6 [Source:RGD Symbol;Acc:1307521]
ENSRNOG00000001924	0	1	0	ENSRNOG00000001924	Tp63	protein_coding	tumor protein p63 [Source:RGD Symbol;Acc:620863]
ENSRNOG00000001976	0	1	0	ENSRNOG00000001976	Tmprss2	protein_coding	transmembrane serine protease 2 [Source:RGD Symbol;Acc:620766]
ENSRNOG00000002028	0	1	1	ENSRNOG00000002028	Tmem50b	protein_coding	transmembrane protein 50B [Source:RGD Symbol;Acc:1307561]
ENSRNOG00000002305	0	1	0	ENSRNOG00000002305	Slc15a2	protein_coding	solute carrier family 15 member 2 [Source:RGD Symbol;Acc:61972]
